Id,City,State
1,Albuquerque,New-Mexico
2,Atlanta,Georgia
3,Austin,Texas
4,Baltimore,Maryland
5,Boston,Massachusetts
6,Charlotte,North-Carolina
7,Chicago,Illinois
8,Colorado-Springs,Colorado
9,Columbus,Ohio
10,Dallas,Texas
11,Dallas,Texas
12,Denver,Colorado
13,Detroit,Michigan
14,Honolulu,Hawaii
15,Houston,Texas
16,Indianapolis,Indiana
17,Jacksonville,Florida
18,Kansas-City,Kansas
19,Las-Vegas,Nevada
20,Los-Angeles,California
21,Louisville,Kentucky
22,Memphis,Tennessee 
23,Miami,Florida
24,Milwaukee,Wisconsin 
25,Minneaplolis ,Minnesota
26,Nashville,Tennessee 
27,New-York,New-York
28,Oakland,California
29,Oklahoma-City,Oklahoma
30,Philidelphia,Pennsylvania
31,Phoenix,Arizona
32,Portland,Oregon
33,Raleigh ,North-Carolina
34,San-Antonio,Texas
35,San-Diego,California
36,San-Francisco,California
37,San-Jose,California
38,Seattle,Washington